Artist,Title
YoungBoy Never Broke Again ,Fuck Da Industry
Eminem ,Premonition  Intro
Nicki Minaj ,Itty Bitty Piggy
A$AP Mob ,Black Card
Metro Boomin ,Up To Something
NAV ,Vicodin
Rich Gang ,Lifestyle
Lil Tecca ,Fallin
Lil Yachty ,Forever World
Ella Mai ,Gut Feeling
Kid Cudi ,Want It Bad
Lou Monte ,Dominick The Donkey (The Italian Christmas Donkey) [With Joe Reisman's Orchestra and Chorus]
Future ,Sorry
Miguel ,Sure Thing
BLACKPINK ,You Never Know
pixelbobby ,Sunset
J. Cole ,p r i d e . i s . t h e . d e v i l
Pi’erre Bourne ,Switching Lanes
Agust D ,Daechwita
Kanye West ,Wolves
Wale ,The Matrimony
Vedo ,You Got It
Ledinsky ,DonaldTrumpMakesMeWannaSmokeCrack
Morgan Wallen ,Somebody’s Problem
Lil Wayne ,B.B. King Freestyle
Daddy Yankee ,Don Don
Lil Pump ,Smoke My Dope
Mike Posner ,Be As You Are  JordanXL Remix
Fred again.. ,Turn On The Lights again..
Lady Gaga ,Dancin' In Circles
Sam Smith ,Have Yourself A Merry Little Christmas
Future ,Rotation
Tiësto ,10:35
Rae Sremmurd ,Buckets
James Blunt ,When I Find Love Again  Apollo Edition Version
JID ,Dance Now
Rod Wave ,Blame On You
"Bobby ""Boris"" Pickett ",Monster Mash
The Kid LAROI ,Thousand Miles
Jagged Edge ,Where the Party At
Pop Smoke ,What You Know Bout Love
21 Savage ,out for the night
Jack Harlow ,I WANNA SEE SOME ASS
Kendrick Lamar ,untitled 01 | 08.19.2014.
Morgan Wallen ,More Surprised Than Me
Gryffin ,I Want Love
Ingrid Andress ,Wishful Drinking
Florida Georgia Line ,Talk You Out Of It
TOOL ,Chocolate Chip Trip
A Boogie Wit da Hoodie ,Say A'
Alesso ,I Wanna Know
Jonas Blue ,Mama
Future ,CHICKENS
Lil Wayne ,Hittas
The Chainsmokers ,The One
Justin Bieber ,Lonely
Otto Knows ,Next to Me
Oasis ,Wonderwall
Jordan Davis ,Singles You Up
2 Chainz ,Riverdale Rd
NAV ,No Ice
FLETCHER ,Live Young Die Free
KIDS SEE GHOSTS ,Feel The Love
Taylor Swift ,Mr. Perfectly Fine (Taylor’s Version) (From The Vault)
Earl Sweatshirt ,2010
Roddy Ricch ,Start Wit Me
Trippie Redd ,Sleepy Hollow
Dr. Dre ,Forgot About Dre
Bryson Tiller ,Run Me Dry
The Weeknd ,Until I Bleed Out
P!nk ,What About Us
LANY ,dancing in the kitchen
Niall Horan ,Slow Hands
Doja Cat ,Naked
Justin Bieber ,Holy
Big Sean ,Light
Taylor Swift ,September  Recorded at The Tracking Room Nashville
Jonas Brothers ,Sucker
Bleachers ,Don't Take The Money
Nick Jonas ,Touch
Charlie Puth ,Patient
Billie Eilish ,bitches broken hearts
Comethazine ,Walk
Jhené Aiko ,Speak
The Weeknd ,All I Know
Kendrick Lamar ,Wesley's Theory
Childish Gambino ,Baby Boy
Pop Smoke ,Shake The Room
The Weeknd ,Hurt You
Peggy Lee ,The Christmas List
Alok ,Hear Me Now
Kendrick Lamar ,Savior
Coolio ,Gangsta's Paradise
The 1975 ,People
YUNGBLUD ,acting like that
Usher ,Rivals
Jonas Brothers ,Comeback
Playboi Carti ,ILoveUIHateU
A$AP Rocky ,Max B
Whitney Houston ,I Wanna Dance with Somebody (Who Loves Me)
